unit_id,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
157422,South East,England,Urban,501 to 600m,Cable,B,218.1906788,213.3614333,219.6995943,218.1584015,214.1381907,219.5022978,19.12867128,17.25909032,20.22769523,18.99296092,9.310344,20.957072,0.0015,0.0015,11.86871074,12.56733384,2.59704834,3.13212346,0.07139759,0.0903494,17.50406506,18.10124852,0.0026,0.0018,276.4021284,274.8406564,0.2258,0.1543,0.8338,0.0119,0,712.7629703,0.1697,0.8303,0,0,657.6881394,1,0,0,0,258.1476101,1,0,0,0,265.8134485,0,1,0,0,882.1381503,0,1,0,0,966.7944353
883677,East,England,Urban,501 to 600m,FTTC,B,66.80672191,59.09438503,67.87762348,66.41372892,61.23906452,67.858088,18.4339705,17.50391974,18.57329626,18.40455108,15.94464,18.575712,0,0,5.84357183,5.79449285,0.18471935,0.18067647,0.50542122,0.61359701,5.78282033,7.22127429,0.0003,0.0004,250.6882851,256.7294121,0.129,0.1408,0.8475,0.0117,0,945.3182053,0.1557,0.8443,0,0,945.8588982,1,0,0,0,1313.027201,1,0,0,0,1456.898554,0,1,0,0,870.8811483,0,1,0,0,956.0660994
814201,West Midlands,England,Urban,501 to 600m,FTTC,B,37.31900846,36.6770831,37.39537161,37.2992469,36.72341187,37.37613548,9.326082302,9.254381162,9.335651613,9.324411978,9.220848,9.336672,0,0,5.79994145,5.78254369,0.27297268,0.27311828,0.28719505,0.29916484,11.41263151,11.43667391,0.0001,0,197.351989,191.7041,0.0645,0.1452,0.8441,0.0108,0,1032.468382,0.1613,0.8387,0,0,1018.185387,1,0,0,0,1025.505569,1,0,0,0,1108.308891,0,1,0,0,713.6950161,0,1,0,0,741.0024759
1927,North East,England,Urban,501 to 600m,FTTC,B,37.25924253,35.68232155,37.34684077,37.19778192,35.73932748,37.34032284,9.327912202,9.285701935,9.333183226,9.324826546,9.213896,9.333592,0,0,8.34258989,7.67714961,0.28751831,0.28491463,0.25015211,0.28247126,17.78778008,17.7985419,0.0004,0.0001,300.4814228,293.5052857,0.0968,,,,,,,,,,,1,0,0,0,867.5929916,1,0,0,0,872.9011412,,,,,,,,,,
941292,Scotland,Scotland,Urban,501 to 600m,FTTC,B,36.82712431,32.9810529,37.30168826,36.78241978,35.15045884,37.30074142,9.269739654,9.21535071,9.282326968,9.268401877,9.13124,9.280928,0,0,9.75632208,9.38001083,0.19654085,0.19114773,0.29200282,0.30783146,21.49639124,21.5147337,0,0.0001,304.3483426,313.6757222,0,0.144,0.8451,0.0109,0,562.244144,0.1639,0.8361,0,0,572.2050055,1,0,0,0,954.494956,1,0,0,0,964.2352928,0,1,0,0,614.002038,0,1,0,0,631.289612
812742,East,England,Urban,501 to 600m,FTTC,B,61.4861589,58.24783819,61.84691252,61.50192521,60.56887742,61.76484181,16.64543263,16.52128387,16.66033987,16.64195706,16.458448,16.844136,0,0,7.57053804,7.54433894,0.2070836,0.20553947,0.34127508,0.35090909,6.19814384,6.22659218,0.0008,0,92.01421746,92.55561905,0.7742,0.1354,0.8542,0.0104,0,990.9029618,0.1389,0.8611,0,0,955.7325417,1,0,0,0,579.4700727,1,0,0,0,599.2292624,0,1,0,0,540.0703986,0,1,0,0,552.4836224
175618,Yorkshire & Humberside,England,Rural,501 to 600m,FTTC,B,69.26918252,67.85552129,69.47246297,69.3013076,68.697248,69.46852903,18.57042347,18.42158477,18.59759871,18.57398238,18.028224,18.615592,0,0,15.84021834,15.85599655,0.31021389,0.31338889,0.32669167,0.33277528,13.72786968,13.69166304,0.0005,0,140.4143548,143.6164807,0.871,0.1467,0.8424,0.0109,0,1065.914344,0.1622,0.8378,0,0,1045.953151,1,0,0,0,583.4900409,1,0,0,0,622.7596304,0,1,0,0,877.5120241,0,1,0,0,869.8892742
941326,East,England,Rural,501 to 600m,FTTC,B,55.61513888,52.87684877,55.92821471,55.54732692,54.20023097,55.91651639,12.84123878,12.62866426,12.97971974,12.86843016,10.9696,14.124608,0,0,14.13165063,13.92943724,0.23410217,0.22941463,0.29187616,0.30888095,15.10462882,15.1005988,0.0004,0.0012,146.1156235,145.274707,0.129,0.1477,0.84,0.0123,0,547.8365815,0.1605,0.8395,0,0,535.2646728,1,0,0,0,665.7963916,1,0,0,0,674.5670859,0,1,0,0,476.8591312,0,1,0,0,475.3887407
34016,Wales,Wales,Rural,501 to 600m,FTTC,B,33.96639148,25.89397368,35.40449523,33.98861577,29.9052609,35.39347252,9.180717533,8.612090581,9.287914581,9.187929721,7.812848,9.298936,0.0004,0.0006,14.13661523,14.22490859,0.36311239,0.36265517,0.68468876,0.8747907,13.6599217,14.00645699,0.0003,0.0001,174.9977098,180.1384663,0.0968,0.1335,0.8551,0.0114,0,1072.587821,0.1379,0.8621,0,0,1050.134684,0.9972,0.0028,0,0,1017.663535,1,0,0,0,1008.039483,0,1,0,0,1087.130223,0,1,0,0,1126.396224
175498,Scotland,Scotland,Urban,501 to 600m,FTTC,B,68.45934163,68.08390874,68.70304148,68.37893806,68.32109984,68.66365472,11.97945695,11.90061632,11.97741728,11.95458756,10.710456,12.06012,0.0019,0.0025,19.56787572,19.22434663,0.29928205,0.30014286,0.21058974,0.22271429,17.78841632,17.62082065,0.0001,0.0001,173.8038837,176.0643529,0.0323,0.1163,0.8837,0,0,688.6475581,0.12,0.88,0,0,624.03344,1,0,0,0,623.6198974,1,0,0,0,627.0493529,0,1,0,0,618.2520857,0,1,0,0,625.1523
256884,South East,England,Urban,501 to 600m,FTTC,B,21.14906268,20.78199768,21.22786942,21.13215014,20.78837574,21.21859097,6.405399559,6.361396387,6.426828903,6.403669453,6.13056,6.659568,0.0002,0,9.6455926,9.52849252,0.32729722,0.32577011,0.29156389,0.42655814,8.32332603,8.40915,0.0001,0.0002,454.4267121,561.0643446,0.0645,0.1505,0.8387,0.0108,0,1070.606839,0.1613,0.8387,0,0,1076.911097,1,0,0,0,1999.623731,1,0,0,0,2323.253226,0,1,0,0,1124.000505,0,1,0,0,1355.675548
940482,South West,England,Rural,501 to 600m,FTTC,B,55.36933855,55.155318,55.83152933,55.21293164,55.16178507,55.55836907,18.55895036,18.550235,18.57213233,18.55693309,18.426288,18.574928,0,0,9.7493548,9.74340194,0.13645455,0.13316667,0.1652,0.17625,8.59262763,8.60925333,0,0,103.1569623,102.2409091,0,0.0625,0.9375,0,0,432.7577708,0.0435,0.9565,0,0,405.1351304,1,0,0,0,633.7243617,1,0,0,0,650.4933478,0,1,0,0,632.3141458,0,1,0,0,677.628
947374,West Midlands,England,Rural,501 to 600m,FTTC,B,74.19302755,72.61951421,74.2901509,74.21294111,72.86548143,74.274014,18.54906125,18.48822538,18.56669931,18.55029461,18.391256,18.568736,0,0,5.43073453,5.42858563,0.17835827,0.17303922,0.27756693,0.30653704,12.01839367,12.10377,0,0.0002,132.3378414,131.284425,0.0645,0.1811,0.8025,0.0165,0,503.3164486,0.2069,0.7931,0,0,493.0196638,1,0,0,0,487.2434733,1,0,0,0,492.4778362,0,1,0,0,436.3705524,0,1,0,0,444.4872417
42206,South East,England,Urban,501 to 600m,FTTC,B,72.77597307,69.90675639,73.42647484,72.68608429,71.15598194,73.27554839,16.96043518,16.80999742,16.98562813,16.95967618,16.777704,17.020736,0,0,11.27113406,11.23300988,0.22079778,0.22602174,0.22112707,0.23734444,7.90050754,7.92317222,0.0006,0,101.5148031,104.0979832,0.7419,0.1425,0.8466,0.011,0,1037.803173,0.1547,0.8453,0,0,1033.391823,1,0,0,0,491.1834506,1,0,0,0,518.7232857,0,1,0,0,703.8865601,0,1,0,0,714.1961967
