unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange band),Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
940610,EE 38,North West,England,Urban,1401 to 1500m,FTTC,B,36.24442938,34.43853229,36.662548,36.11593932,35.75130429,36.19865886,9.270655925,9.149118286,9.281897429,9.271678815,9.175048,9.28552,0.0032,0,20.65193555,19.8935489,0.29237719,0.30225,0.34999708,0.4685,19.83434796,19.73046429,0.0048,0.0036,458.1737295,462.648549,5.3571,0.125,0.6951,0.1799,0,607.6593262,0.1346,0.6731,0.1923,0,604.9897692,0.9939,0.0061,0,0,1065.807486,1,0,0,0,1191.446615,0,1,0,0,2288.457254,0,1,0,0,2177.873648
658278,Virgin 200,London,England,Urban,1401 to 1500m,Cable,B,218.6870017,212.1289543,219.8478963,218.0522712,217.0951942,219.17446,12.05904242,11.946772,12.09860829,12.03934232,11.912272,12.107848,0,0,10.8939651,10.99488163,1.43671053,1.56238095,0.09057895,0.09119048,11.81776346,11.6426087,0.0001,0,325.776473,295.1293824,0.1071,0.0956,0.7251,0.1793,0,608.7447331,0.0541,0.7027,0.2432,0,537.5807568,1,0,0,0,297.5698153,1,0,0,0,352.6946111,0,1,0,0,616.033741,0,1,0,0,630.5955897
1571,BT 76,Northern Ireland,Northern Ireland,Urban,1401 to 1500m,FTTC,B,63.19037448,55.08007257,64.67413914,64.24432356,62.28702943,63.95872829,18.53923464,18.18559286,18.58229257,18.53862504,17.736272,18.58856,0.0006,0,26.97883551,26.94721651,0.36480328,0.36330769,0.30843234,0.52207407,18.48977008,18.60901923,0.0024,0.0028,210.7381069,221.8662593,0.2143,,,,,,,,,,,0.9113,0.0856,0.0031,0,564.6738632,0.9273,0.0727,0,0,539.2618182,,,,,,,,,,
249954,BT 17,Scotland,Scotland,Rural,1401 to 1500m,ADSL,A,6.224495391,4.439159714,7.001068857,6.163667487,5.721717334,6.132609334,0.977659379,0.894999429,0.998551143,0.974910947,0.810872,1.039088,0.0114,0,35.0111174,38.11337686,1.07781679,1.0945625,0.62555725,1.290625,32.07119016,34.77726087,0.0042,0.0137,779.2724588,891.1711316,1.75,0,0.8057,0.1943,0,1751.294572,0,0.7949,0.2051,0,1858.950282,0,0.9819,0.0144,0.0036,2055.608615,0,0.9714,0.0286,0,1717.616956,0,0.9242,0.0758,0,2375.25861,0,0.8889,0.1111,0,2474.822446
813857,Sky 38,Wales,Wales,Rural,1401 to 1500m,FTTC,B,20.37134331,15.77844429,21.342412,20.27716655,18.907316,21.030272,2.750854538,2.376562857,2.826515714,2.721084218,1.808256,2.838072,0.0003,0.0015,18.99022662,18.85997766,0.38649544,0.40974074,0.71425688,0.66739286,20.06863166,19.92610909,0.0006,0.0009,334.1136589,367.1355098,0.0357,0.0828,0.7423,0.1748,0,1133.74611,0.1111,0.7222,0.1667,0,1185.570019,0.8838,0.1131,0.0031,0,2002.351863,0.8679,0.1132,0.0189,0,2672.541217,0,0.9939,0.0061,0,1287.074133,0,0.9636,0.0364,0,1742.433568
941318,Virgin 100,Scotland,Scotland,Urban,1401 to 1500m,Cable,B,108.2134781,102.4933906,109.6446286,107.7714208,106.8022589,108.8149146,5.99862911,5.854755429,6.032710286,5.996487216,5.831856,6.042184,0,0,16.41772749,16.26765341,1.40262791,1.69225,0.68426357,0.6885,20.6503578,20.85311628,0.0005,0.0003,320.5868789,307.9018085,0.1071,0.1412,0.6784,0.1804,0,575.8659177,0.1489,0.6596,0.1915,0,585.9065957,1,0,0,0,484.8958327,1,0,0,0,595.5209592,0,1,0,0,497.7098265,0,1,0,0,486.7637111
816917,Virgin 200,London,England,Urban,1401 to 1500m,Cable,B,162.4224567,59.172928,219.226636,75.45437923,61.0117843,89.9182883,12.08911539,11.86450286,12.11918857,12.0855725,11.79812,12.12616,0.0004,0,12.37980823,13.38952425,1.49296552,1.98668421,0.48202956,1.31622222,13.24386318,14.34464706,0.0058,0.0041,287.6726539,273.6365652,1.6786,0.141,0.7265,0.1325,0,758.551953,0.1667,0.7083,0.125,0,784.491,0.9914,0.0086,0,0,374.4533192,0.9574,0.0426,0,0,611.9604694,0,1,0,0,777.4713772,0,1,0,0,840.4620638
814595,Sky 76,West Midlands,England,Urban,1401 to 1500m,FTTC,B,65.0702448,61.45733943,65.51799743,65.33015331,65.17965143,65.48814057,18.67015248,18.597422,18.70332943,18.67312655,18.623136,18.734728,0,0,7.86455837,7.72063847,0.25167173,0.25403704,0.32148485,0.3385,8.51890152,8.54641071,0,0,109.5386844,108.1504182,0,0.0831,0.7359,0.181,0,1054.99743,0.1071,0.7143,0.1786,0,1089.281536,0.976,0.024,0,0,1140.064599,0.8571,0.1429,0,0,2008.895761,0,1,0,0,573.5928843,0,1,0,0,600.6251091
656036,BT 76,South East,England,Urban,1401 to 1500m,FTTC,B,50.58962354,42.90999686,52.08224029,49.30681551,47.909232,50.6187277,18.50412932,18.12578914,18.57984286,18.4655575,17.858344,18.6018,0.0001,0,18.12448136,19.49721949,0.39030097,0.38665217,0.28208091,0.29331818,6.81628506,6.79986792,0.0005,0,101.5187968,103.8288044,0.25,0.1097,0.7161,0.1742,0,730.9267645,0.125,0.7083,0.1667,0,699.1358542,1,0,0,0,630.8467097,1,0,0,0,635.8439333,0,1,0,0,995.1946166,0,1,0,0,997.4298085
815163,Virgin 100,West Midlands,England,Urban,1401 to 1500m,Cable,B,109.0391187,102.6777116,109.9115651,109.0723941,105.7410928,109.5061772,6.00717555,5.873928,6.044967636,5.998027579,5.70564,6.044032,0.0005,0,16.7969049,17.36237313,2.81204681,3.48238889,0.18651915,0.26258824,18.89802273,19.56884211,0.0037,0.0001,394.2414874,376.7371842,0.6071,0.0759,0.7342,0.1899,0,690.9967384,0.1053,0.7105,0.1842,0,724.7928421,1,0,0,0,463.0697437,1,0,0,0,495.2075676,0,1,0,0,945.5885768,0,1,0,0,965.1329737
